plan_id,state,metal_level,rate,rate_area
78421VV7272023,MO,Silver,290.05,3
35866RG6997149,MO,Silver,234.6,3
28850TB6621800,MO,Silver,265.82,3
53546TY7687603,MO,Silver,251.08,3
26631YR3384683,MO,Silver,351.6,3
03665WJ8941702,MO,Silver,312.06,3
02345TB1383341,MO,Silver,245.2,3
40205HK1927400,MO,Silver,265.25,3
57237RP9645446,MO,Silver,253.65,3
64618UJ3132146,MO,Silver,319.57,3
43868JA2737085,MO,Silver,271.64,3
44945VH6426537,MO,Silver,298.87,3
39063JC7040427,MO,Silver,341.24,3
24136DT6341333,KS,Silver,224.31,6
73933HS6388428,KS,Silver,236.85,6
22914KH3561750,KS,Silver,232.91,6
83438MQ6743054,KS,Silver,236.24,6
28193UU0623361,KS,Silver,227.52,6
56834OY7425326,KS,Silver,212.35,6
02127DK3707648,KS,Silver,251.06,6
00755MW8233171,KS,Silver,212.35,6
06681QF9151145,KS,Silver,245.15,6
26512SR1647736,KS,Silver,218.83,6
69789JG3234541,KS,Silver,237.4,6
89637NG4020233,KS,Silver,228,6
87071UM2692556,KS,Silver,195.46,6
76134RH7763442,KS,Silver,236.85,6
